CRA_bin,SPD
6000,0.006
5980,0.165
5960,0.212
5940,0.261
5920,0.295
5900,0.23399999999999999
5880,0.233
5860,0.31
5840,0.487
5820,0.58
5800,0.685
5780,0.655
5760,0.665
5740,0.544
5720,0.329
5700,0.208
5680,0.118
5660,0.166
5640,0.239
5620,0.357
5600,0.449
5580,0.42
5560,0.389
5540,0.366
5520,0.397
5500,0.529
5480,0.642
5460,0.648
5440,0.535
5420,0.456
5400,0.385
5380,0.34199999999999997
5360,0.3
5340,0.296
5320,0.322
5300,0.34199999999999997
5280,0.421
5260,0.441
5240,0.445
5220,0.428
5200,0.404
5180,0.313
5160,0.218
5140,0.328
5120,0.589
5100,0.91
5080,1.237
5060,1.525
5040,1.708
5020,1.785
5000,1.597
4980,1.317
4960,1.267
4940,1.326
4920,1.508
4900,1.611
4880,1.307
4860,1.061
4840,0.969
4820,1.214
4800,1.353
4780,1.41
4760,1.43
4740,1.404
4720,1.481
4700,1.667
4680,1.765
4660,1.807
4640,1.77
4620,1.798
4600,2.065
4580,2.664
4560,2.695
4540,2.269
4520,2.152
4500,2.075
4480,1.677
4460,1.217
4440,1.268
4420,1.48
4400,1.883
4380,1.861
4360,1.821
4340,1.498
4320,1.324
4300,1.215
4280,1.181
4260,1.095
4240,1.074
4220,1.246
4200,1.378
4180,1.407
4160,1.693
4140,1.807
4120,1.971
4100,2.046
4080,2.153
4060,2.079
4040,1.941
4020,1.797
4000,1.85
3980,2.074
3960,2.371
3940,2.903
3920,3.098
3900,2.984
3880,2.7319999999999998
3860,2.528
3840,2.707
3820,3.197
3800,3.697
3780,4.0440000000000005
3760,3.985
3740,3.547
3720,3.208
3700,2.866
3680,2.579
3660,2.643
3640,2.791
3620,2.927
3600,3.19
3580,3.465
3560,2.989
3540,2.361
3520,1.632
3500,1.184
3480,1.012
3460,1.005
3440,1.15
3420,1.547
3400,2.046
3380,2.426
3360,2.35
3340,2.284
3320,2.049
3300,1.938
3280,1.795
3260,1.466
3240,1.133
3220,1.129
3200,1.307
3180,1.802
3160,2.286
3140,2.999
3120,3.926
3100,4.798
3080,5.324
3060,4.756
3040,4.593
3020,4.855
3000,4.707
2980,4.457
2960,4.4719999999999995
2940,4.494
2920,4.379
2900,3.887
2880,3.381
2860,3.394
2840,3.499
2820,3.3810000000000002
2800,3.749
2780,3.94
2760,3.472
2740,2.9739999999999998
2720,2.7279999999999998
2700,2.658
2680,2.363
2660,2.059
2640,1.766
2620,1.486
2600,1.579
2580,1.952
2560,2.691
2540,3.456
2520,4.336
2500,5.151
2480,4.854
2460,4.167
2440,3.036
2420,2.396
2400,2.217
2380,2.081
2360,2.026
2340,2.088
2320,2.293
2300,2.494
2280,2.92
2260,3.578
2240,4.816
2220,5.978
2200,7.494
2180,8.935
2160,10.394
2140,12.097
2120,12.058
2100,9.604000000000001
