BP,Temp
2183.00,17.89
2247.00,18.50
2312.00,19.07
2377.00,18.67
2441.00,18.90
2506.00,19.24
2570.00,19.18
2635.00,19.06
2700.00,18.62
2764.00,18.66
2829.00,18.59
2902.00,18.71
2975.00,18.99
3049.00,18.70
3122.00,18.49
3195.00,18.84
3268.00,18.91
3341.00,19.02
3415.00,18.75
3488.00,19.37
3561.00,19.16
3634.00,19.76
3707.00,19.01
3781.00,19.40
3854.00,19.12
3927.00,19.65
4000.00,19.42
4073.00,19.90
4147.00,19.46
4220.00,19.58
4293.00,19.46
4366.00,19.69
4439.00,18.82
4513.00,19.55
4586.00,18.76
4739.00,19.11
4819.00,19.55
4898.00,19.11
5058.00,19.51
5138.00,19.28
5217.00,19.04
5297.00,20.06
5377.00,19.68
5457.00,19.89
5536.00,19.36
5616.00,20.99
5696.00,19.64
5776.00,19.94
5855.00,19.73
5935.00,19.97
6015.00,20.20
6095.00,19.74
6174.00,20.31
