Lag,Direction,p_value
1,Korea_to_Japan,0.07547570131788503
2,Korea_to_Japan,0.39244437057668
3,Korea_to_Japan,0.424502160987857
4,Korea_to_Japan,0.1816689230141785
5,Korea_to_Japan,0.10537520426418366
6,Korea_to_Japan,0.05185327663447988
7,Korea_to_Japan,0.03141102671983143
8,Korea_to_Japan,0.003913109068285059
1,Japan_to_Korea,0.42785613059752015
2,Japan_to_Korea,0.0763100690213735
3,Japan_to_Korea,0.28563713222600207
4,Japan_to_Korea,0.08709013932195872
5,Japan_to_Korea,0.11482918971721243
6,Japan_to_Korea,0.0068619307996708985
7,Japan_to_Korea,0.02602272464240835
8,Japan_to_Korea,0.01127545609980102
