Lag_Years,SpearmanR,Spearman_p
-200,-0.41298701298701296,0.06278443721893982
-180,-0.4285714285714286,0.0465837977402328
-160,-0.475296442687747,0.02190174042331358
-140,-0.5539130434782608,0.004979948102990915
-120,-0.6638461538461539,0.00029672654841512514
-100,-0.747008547008547,1.165163880331543e-05
-80,-0.7967032967032966,6.623311064920281e-07
-60,-0.8106185002736727,1.701487421472399e-07
-40,-0.7704433497536944,1.0159517168690739e-06
-20,-0.6880978865406007,2.640933161144735e-05
0,-0.5899193548387097,0.0004780380637412753
20,-0.4687430478309232,0.00898147665666598
40,-0.3655172413793103,0.05119303212680578
60,-0.3103448275862069,0.10799014834510119
80,-0.3046398046398046,0.12233648508043637
100,-0.35999999999999993,0.07084228282488045
120,-0.44076923076923075,0.027430675282943604
140,-0.48521739130434777,0.01624446218040303
160,-0.46245059288537554,0.026293638580159005
180,-0.37436476566911353,0.0860723163247642
200,-0.24935064935064938,0.2756990797076051
