BP,Temp,residual,resid_z,delta_residz,delta_zscore
6174,20.31,0.2863432906637548,0.7927178032250288,1.4975262480389666,1.0158546982630996
6095,19.74,-0.2545889199846023,-0.7048084448139378,-1.354770111317559,-0.9930647047510052
6015,20.2,0.2347773213049855,0.6499616665036213,0.5556316276901434,0.3524627711913173
5935,19.97,0.0340736307578843,0.0943300388134779,0.5835094041370859,0.3720975492652853
5855,19.73,-0.176699991625906,-0.489179365323608,-0.6610771413970238,-0.5044852966413123
5776,19.94,0.062092430191921,0.1718977760734158,0.7499992407044397,0.48935908907255105
5696,19.64,-0.208820181717293,-0.5781014646310239,-3.8176961855704645,-2.727744189414458
5616,20.99,1.1701972745368003,3.239594720939441,4.432381839119797,3.082921930819823
5536,19.36,-0.4308552010457944,-1.1927871181803558,-1.546208438512498,-1.127897878281836
5457,19.89,0.1276618532382158,0.3534213203321422,0.501613639525484,0.314417010560661
5377,19.68,-0.0535296118697985,-0.1481923191933418,-1.1315591392282287,-0.8358535330139082
5297,20.06,0.3552089911854921,0.9833668200348868,2.7444190901002603,1.8940619068791913
5217,19.04,-0.6361223375959035,-1.7610522700653737,-0.7426050045073014,-0.5619067162463437
5138,19.28,-0.3678806508457057,-1.0184472655580723,-0.715718118853857,-0.5429698389128779
5058,19.51,-0.1093509691525227,-0.3027291467042152,0.9499836929940564,0.6302114395612619
4898,19.11,-0.4525014012762298,-1.2527128396982716,-1.2955261905826376,-0.9513382335571552
4819,19.55,0.0154649179401502,0.042813350884366,1.139893649888051,0.763968156663403
4739,19.11,-0.3962842535654722,-1.097080299003685,0.8199085515348683,0.5385973705428102
4586,18.76,-0.6924493096985707,-1.9169888505385533,-2.2579098105921163,-1.6291609012606458
4513,19.55,0.1231465083297393,0.3409209600535631,1.9492787757088785,1.3340314596714027
4439,18.82,-0.580966477132062,-1.6083578156553155,-2.4790586043186953,-1.7849196467406265
4366,19.69,0.3145120848744511,0.8707007886633797,0.5663619495712935,0.36002031399605317
4293,19.46,0.1099324177000689,0.3043388390920862,-0.4024230049403374,-0.3223109192512575
4220,19.58,0.2552945213447906,0.7067618440324236,0.2621584198286812,0.14576474712249718
4147,19.46,0.1605983958086199,0.4446034242037424,-1.2889505137025068,-0.9467068757990063
4073,19.9,0.6261894675554238,1.7335539379062492,1.2591133665825884,0.8479365708514478
4000,19.42,0.1713760859974584,0.4744405713236609,-0.7063019210494338,-0.5363378553849837
3927,19.65,0.4265044752585929,1.1807424923730947,1.3978566515601651,0.9456557564175119
3854,19.12,-0.0784253646611645,-0.2171141591870704,-0.8444003952719825,-0.6336028900936873
3781,19.4,0.2265865662381827,0.6272862360849122,1.0096553808883248,0.6722391942257322
3707,19.01,-0.1381183048064009,-0.3823691448034126,-2.145232049878989,-1.5498000946452182
3634,19.76,0.6367763700711464,1.7628629050755764,1.592292902011279,1.0826004167783563
3561,19.16,0.0616128157677984,0.1705700030642974,-0.6499641448208785,-0.4966582297328498
3488,19.37,0.2963910322835588,0.8205341478851759,1.6479836592288093,1.121824336261984
3415,18.75,-0.2988889803815766,-0.8274495113436335,-0.816680936602486,-0.6140796178434076
3341,19.02,-0.0038897942175566,-0.0107685747411476,0.23641530094175062,0.12763344360054452
3268,18.91,-0.0892870629044892,-0.2471838756828982,0.12583979995046277,0.049753293204981355
3195,18.84,-0.1347425607723167,-0.373023675633361,0.9011579283995339,0.5958226476886448
3122,18.49,-0.4602562878210392,-1.2741816040328948,-0.6489947204323346,-0.4959754481356597
3049,18.7,-0.2258282440506569,-0.6251868836005602,-0.871229995212589,-0.6524994201541015
2975,18.99,0.0888749993219697,0.2460431116120288,0.7078545132817151,0.4596758619504744
2902,18.71,-0.1668142129294416,-0.4618114016696863,0.2650689012503102,0.1478146472252136
2829,18.59,-0.2625616543617539,-0.7268803029199965,-0.2534368288117566,-0.2173774963887381
2764,18.66,-0.1710159173515499,-0.4734434741082399,0.05213163399241488,-0.0021605846317212024
2700,18.62,-0.1898467592530899,-0.5255751081006548,-1.2774976909118028,-0.9386404636788022
2635,19.06,0.2716073561241998,0.7519225828111479,-0.3914762548735965,-0.3146009425032652
2570,19.18,0.4130153055624284,1.1433988376847444,-0.22433454018544063,-0.19688027417627757
2506,19.24,0.494048795897708,1.367733377870185,0.8822494843872903,0.582505118487166
2441,18.9,0.1753651237030205,0.4854838934828946,0.5787563061746185,0.36874986392049114
2377,18.67,-0.0336915980310266,-0.0932724126917239,-1.166125886753172,-0.8601994638195045
2312,19.07,0.3875331081413726,1.0728534740614482,1.5193669840857766,1.0312374891419707
2247,18.5,-0.1612883516252949,-0.4465135100243284,1.6311305761573007,1.109954431694774
2183,17.89,-0.7504807411225229,-2.077644086181629,,
